Departamento,IDH
Bogotá,"0,813"
Valle del Cauca,"0,791"
San Andrés y Providencia,"0,789"
Atlántico,"0,786"
Quindío,"0,784"
Caldas,"0,778"
Meta,"0,778"
Santander,"0,778"
Cundinamarca,"0,774"
Antioquia,"0,772"
Risaralda,"0,761"
Boyacá,"0,76"
Bolívar,"0,756"
Guaviare,"0,755"
Vichada,"0,754"
Norte de Santander,"0,75"
Casanare,"0,75"
Tolima,"0,747"
Sucre,"0,744"
Arauca,"0,74"
Cesar,"0,729"
Magdalena,"0,726"
Huila,"0,726"
Nariño,"0,722"
Cauca,"0,719"
Amazonas,"0,717"
Caquetá,"0,717"
Putumayo,"0,717"
Córdoba,"0,716"
Chocó,"0,696"
La Guajira,"0,695"
Guainía,"0,67"
Vaupés,"0,639"
